episode,total_score,q_size
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
7,-13.164983164983092,1
8,13.478260869564938,1
9,44.204946996466035,1
10,-6.377952755905438,1
11,-12.87671232876705,1
12,-9.166666666666595,1
13,-10.620155038759618,1
14,-12.935153583617675,1
15,23.76344086021494,1
16,-3.941368078175928,1
17,-9.166666666666595,1
18,-13.660130718954175,1
19,-13.552631578947297,1
20,-8.124999999999988,1
21,6.144578313252856,1
22,-12.517482517482444,1
23,-6.331360946745556,1
24,-3.684210526315825,1
25,-7.049180327868841,1
26,-0.4918032786884998,1
27,-8.65853658536578,1
28,43.80073800737971,1
29,-6.470588235294073,1
30,-9.094076655052213,1
31,140.88607594936803,1
32,36.88963210702307,1
33,-12.394366197183025,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
7,-13.164983164983092,1
8,13.478260869564938,1
9,44.204946996466035,1
10,-6.377952755905438,1
11,-12.87671232876705,1
12,-9.166666666666595,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
7,-13.164983164983092,1
8,13.478260869564938,1
9,44.204946996466035,1
10,-6.377952755905438,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
7,-13.164983164983092,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
7,-13.164983164983092,1
8,13.478260869564938,1
9,44.204946996466035,1
10,-6.377952755905438,1
11,-12.87671232876705,1
12,-9.166666666666595,1
13,-10.620155038759618,1
14,-12.935153583617675,1
15,23.76344086021494,1
16,-3.941368078175928,1
17,-9.166666666666595,1
18,-13.660130718954175,1
19,-13.552631578947297,1
20,-8.124999999999988,1
21,6.144578313252856,1
22,-12.517482517482444,1
23,-6.331360946745556,1
24,-3.684210526315825,1
25,-7.049180327868841,1
26,-0.4918032786884998,1
27,-8.65853658536578,1
28,43.80073800737971,1
29,-6.470588235294073,1
30,-9.094076655052213,1
31,140.88607594936803,1
32,36.88963210702307,1
33,-12.394366197183025,1
34,3.8983050847458154,1
35,-10.158730158730089,1
36,-12.07885304659491,1
37,-7.8597785977859544,1
38,6.900369003690072,1
39,-12.87671232876705,1
40,-5.352112676056265,1
41,24.216867469879148,1
42,17.970479704796688,1
43,-13.164983164983113,1
44,-6.653696498054408,1
45,-11.818181818181746,1
46,16.204620462046044,1
1,35.06849315068458,1
1,35.06849315068458,1
2,-8.181818181818146,1
1,35.06849315068458,1
2,-8.181818181818146,1
3,-13.974358974358898,1
4,48.291814946619056,1
5,12.944785276073723,1
6,-6.821192052980088,1
7,-13.164983164983092,1
