state,action,value
"[1.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",3,0.012243501880570502
"[1.0, 1.0, 0.1, 0.2, 0.2, 0.2, 0.3]",4,0.5865771553340985
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.3]",0,0.10267065532049857
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.3]",1,-0.018265351599322827
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.3]",2,-0.0017378052574629974
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.3]",3,-0.016830544543392122
"[1.0, 1.0, 0.1, 1.0, 0.2, 0.2, 0.3]",4,-0.009946017607038735
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",0,-0.19380335272105645
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",1,-0.2114375626189694
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",2,-0.21664601621697585
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",3,-0.21077958856413861
"[1.0, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",4,-0.20076734133875057
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",0,-0.010000000000000142
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",1,0.25386216825481317
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",2,-0.0107036891848469
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",3,-0.01008725556202901
"[1.0, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",4,0.27422138000699897
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.3]",0,-0.29611045698354793
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.3]",1,-0.2739578430213535
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.3]",2,-0.28420975331550696
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.3]",3,-0.2884434144461148
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.3]",4,0.09074834079299891
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",0,-0.05100790704130069
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",1,-0.053305637551741024
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",2,-0.05089034358155783
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",3,0.09061405041600692
"[0.1, 0.1, 0.1, 1.0, 0.2, 0.2, 0.3]",4,-0.05920544815341995
"[0.1, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",0,-0.4856756279159259
"[0.1, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",1,-0.5027811522298324
"[0.1, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",2,-0.500454664183005
"[0.1, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",3,-0.5075360798054004
"[0.1, 1.0, 1.0, 1.0, 0.2, 0.2, 0.3]",4,-0.5006181857310391
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",0,-0.026089620574995913
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",1,-0.025263628881978736
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",2,-0.01787163601177891
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",3,-0.018822255171678175
"[0.1, 0.1, 1.0, 1.0, 0.2, 0.2, 0.2]",4,-0.030037305656227396
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",0,-0.04409502504533826
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",1,-0.04374289712079896
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",2,-0.043819155016625984
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",3,-0.044750823520783696
"[0.1, 0.1, 1.0, 0.2, 0.2, 0.2, 0.2]",4,-0.054854891205651575
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",0,-0.09600140098123243
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",1,-0.09541994340120159
"[0.1, 1.0, 1.0, 0.2, 0.2, 0.2, 0.2]",2,-0.08338479343344399
