state,action,value
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",3,0.7807994245493252
"[0.0, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",4,0.5042363269313574
"[0.0, 0.0, 0.0, 0.1, 0.3, 0.3, 0.3]",0,-0.18164743531490252
"[0.0, 0.0, 0.0, 0.1, 0.3, 0.3, 0.3]",1,-0.17923915381576783
"[0.0, 0.0, 0.0, 0.1, 0.3, 0.3, 0.3]",2,-0.18099317317644678
"[0.0, 0.0, 0.0, 0.1, 0.3, 0.3, 0.3]",3,0.5747484791525003
"[0.0, 0.0, 0.0, 0.1, 0.3, 0.3, 0.3]",4,-0.17410050667433286
"[0.0, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",0,0.3012365778352431
"[0.0, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",1,0.3202026501954111
"[0.0, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",2,0.17338597454067065
"[0.0, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",3,0.6650348783330818
"[0.0, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",4,0.6001826825478283
"[0.1, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",0,0.9414469655507793
"[0.1, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",1,0.3836010249318857
"[0.1, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",2,0.5184775789533095
"[0.1, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",3,0.33710207895694294
"[0.1, 0.0, 0.1, 0.1, 0.3, 0.3, 0.3]",4,0.6121234664918116
"[0.1, 0.1, 0.1, 0.1, 0.3, 0.3, 0.3]",0,0.1488729450604429
"[0.1, 0.1, 0.1, 0.1, 0.3, 0.3, 0.3]",1,-0.03462786192855738
"[0.1, 0.1, 0.1, 0.1, 0.3, 0.3, 0.3]",2,-0.24438646039414563
"[0.1, 0.1, 0.1, 0.1, 0.3, 0.3, 0.3]",3,0.6920558126781085
"[0.1, 0.1, 0.1, 0.1, 0.3, 0.3, 0.3]",4,0.0832725880947163
"[0.1, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",0,-0.9767862684342334
"[0.1, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",1,-0.9644379559558466
"[0.1, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",2,-1.0535457061224744
"[0.1, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",3,-0.2860082159152633
"[0.1, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",4,-0.9778755089748966
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.3, 0.4]",0,8.321205021090147
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.3, 0.4]",1,5.694957518680935
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.3, 0.4]",2,3.594935498224758
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.3, 0.4]",3,8.177517344595554
"[0.3, 0.5, 0.2, 0.2, 0.2, 0.3, 0.4]",4,7.510684114532895
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",0,2.0968737809162636
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",1,2.1523614185248796
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",2,2.0952483386417713
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",3,2.095798405224991
"[0.1, 0.2, 0.1, 0.1, 0.1, 0.2, 0.3]",4,2.029994012160694
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",0,1.5700417944860403
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",1,1.9972730824440608
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",2,2.341997399152528
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",3,2.950874434595314
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",4,1.6726449418997014
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]",0,3.093045595226139
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]",1,2.2434981991447396
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]",2,2.2315695428099156
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]",3,2.246982063804692
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]",4,2.237337327873875
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.3]",0,1.7651664470257322
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.3]",1,1.3965659236151546
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.3]",2,1.7176939386441281
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.3]",3,1.7474350022190352
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.3]",4,2.1944808917810374
"[0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3]",0,1.0413273589469971
"[0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3]",1,1.1795733544460953
"[0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3]",2,0.7138695448785167
"[0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3]",3,2.349287114953321
"[0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.3]",4,1.2886629955058397
"[0.1, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",0,0.1772118855847774
"[0.1, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",1,-0.019949999999999964
"[0.1, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",2,0.6682872283963456
"[0.1, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",3,-0.013332546541386247
"[0.1, 0.0, 0.0, 0.1, 0.2, 0.3, 0.3]",4,-0.019000000000000003
"[0.1, 0.0, 0.1, 0.1, 0.2, 0.3, 0.3]",0,0.37088146013668444
"[0.1, 0.0, 0.1, 0.1, 0.2, 0.3, 0.3]",1,0.5548319384457631
"[0.1, 0.0, 0.1, 0.1, 0.2, 0.3, 0.3]",2,-0.006307292458422334
"[0.1, 0.0, 0.1, 0.1, 0.2, 0.3, 0.3]",3,0.5450438844220218
"[0.1, 0.0, 0.1, 0.1, 0.2, 0.3, 0.3]",4,1.0601607226530898
"[0.2, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",0,-1.146788055026471
"[0.2, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",1,-1.1437946894731064
"[0.2, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",2,-1.1450776721921927
"[0.2, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",3,-1.145565545128512
"[0.2, 0.1, 0.1, 0.2, 0.3, 0.3, 0.3]",4,-1.0306666982369277
"[0.2, 0.1, 0.2, 0.2, 0.3, 0.3, 0.3]",0,-1.4266630262828481
"[0.2, 0.1, 0.2, 0.2, 0.3, 0.3, 0.3]",1,-1.418944364144142
"[0.2, 0.1, 0.2, 0.2, 0.3, 0.3, 0.3]",2,-1.4185846613562338
"[0.2, 0.1, 0.2, 0.2, 0.3, 0.3, 0.3]",3,-1.4215146650980963
"[0.2, 0.1, 0.2, 0.2, 0.3, 0.3, 0.3]",4,-1.3667093196321074
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2]",0,-0.009999999999999966
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2]",1,2.718616148777766
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2]",2,0.5103901901379806
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2]",3,0.0
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.2]",4,-0.009999999999999966
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2]",0,0.022603750232546835
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2]",1,0.37705832704763426
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2]",2,0.1947436628187253
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2]",3,2.8492261882515812
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2]",4,0.11380237585294845
"[0.0, 0.1, 0.0, 0.0, 0.1, 0.3, 0.3]",0,-8.727123184746063
"[0.0, 0.1, 0.0, 0.0, 0.1, 0.3, 0.3]",1,0.1861247481104233
"[0.0, 0.1, 0.0, 0.0, 0.1, 0.3, 0.3]",2,0.5849139466012532
"[0.0, 0.1, 0.0, 0.0, 0.1, 0.3, 0.3]",3,2.869167340566689
"[0.0, 0.1, 0.0, 0.0, 0.1, 0.3, 0.3]",4,0.0969892176555432
"[0.0, 0.0, 0.0, 0.1, 0.1, 0.3, 0.3]",0,1.1409867942254888
"[0.0, 0.0, 0.0, 0.1, 0.1, 0.3, 0.3]",1,0.989043953430697
"[0.0, 0.0, 0.0, 0.1, 0.1, 0.3, 0.3]",2,1.1771202384107855
"[0.0, 0.0, 0.0, 0.1, 0.1, 0.3, 0.3]",3,2.766060349189888
"[0.0, 0.0, 0.0, 0.1, 0.1, 0.3, 0.3]",4,0.8833642622890897
"[0.1, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3]",0,-0.7536675208062132
"[0.1, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3]",1,-0.8294200931216169
"[0.1, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3]",2,-0.8041201295522172
"[0.1, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3]",3,-0.8054489675913267
"[0.1, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3]",4,-0.8479637209306701
"[0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",0,-0.6806609572138419
"[0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",1,-0.6271255313473576
"[0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",2,-0.5942227793656166
"[0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",3,-0.6015499911160009
"[0.1, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",4,-0.5893639231705751
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",0,-1.6040871882716856
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",1,-1.6103200809164002
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",2,-1.3856885041335285
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",3,-1.6248456305966066
"[0.2, 0.1, 0.2, 0.2, 0.2, 0.3, 0.3]",4,-1.6016844845989384
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3]",0,-1.563117473018568
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3]",1,-1.5801214016599898
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3]",2,-1.5978171286250133
"[0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.3]",3,-1.3837792129371211
