episode,total_score,q_size
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
7,7.03703703703707,1
8,42.16494845360791,1
9,-4.27652733118971,1
10,-10.98859315589348,1
11,-8.873239436619677,1
12,34.16363636363704,1
13,-15.71428571428564,1
14,41.91780821917776,1
15,-13.44370860927145,1
16,-4.921630094043893,1
17,37.092651757188136,1
18,40.23411371237424,1
19,28.250955414013333,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
7,7.03703703703707,1
8,42.16494845360791,1
9,-4.27652733118971,1
10,-10.98859315589348,1
11,-8.873239436619677,1
12,34.16363636363704,1
13,-15.71428571428564,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
7,7.03703703703707,1
8,42.16494845360791,1
9,-4.27652733118971,1
10,-10.98859315589348,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
7,7.03703703703707,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
7,7.03703703703707,1
8,42.16494845360791,1
9,-4.27652733118971,1
10,-10.98859315589348,1
11,-8.873239436619677,1
12,34.16363636363704,1
13,-15.71428571428564,1
14,41.91780821917776,1
15,-13.44370860927145,1
16,-4.921630094043893,1
17,37.092651757188136,1
18,40.23411371237424,1
19,28.250955414013333,1
20,-6.539589442815215,1
21,-14.126984126984055,1
22,50.70175438596511,1
23,3.003300330032963,1
24,-4.2120343839541246,1
25,11.144262295082711,1
26,-3.9413680781758997,1
27,46.36363636363618,1
28,-13.44370860927145,1
29,-17.138263665594803,1
30,-8.723404255319084,1
31,-9.99999999999998,1
32,-47.30465116279042,1
33,-14.374999999999927,1
34,-15.507246376811521,1
35,-8.647686832740197,1
36,-14.276729559748354,1
37,-40.58582677165286,1
38,46.923076923076785,1
39,-10.988593155893463,1
40,-12.578397212543482,1
41,-10.891719745222865,1
42,-12.87671232876705,1
43,-64.08452012383934,1
44,-11.20300751879692,1
45,-9.661016949152518,1
46,-6.666666666666609,1
47,-13.388704318936805,1
1,-23.31262135922269,1
1,-23.31262135922269,1
2,-14.276729559748354,1
1,-23.31262135922269,1
2,-14.276729559748354,1
3,-13.108108108108034,1
4,11.825095057034172,1
5,-9.23875432525949,1
6,-16.885245901639287,1
7,7.03703703703707,1
